,Regulation Title,Regulation Content
0,"Điều 1. Phạm
vi điều chỉnh","Luật này quy định về chế độ sở hữu
đất đai, quyền hạn và trách nhiệm của Nhà nước đại diện chủ sở hữu toàn dân về
đất đai và thống nhất quản lý về đất đai, chế độ quản lý và sử dụng đất đai,
quyền và nghĩa vụ của công dân, người sử dụng đất đối với đất đai thuộc lãnh thổ
của nước Cộng hòa xã hội chủ nghĩa Việt Nam."
1,"Điều 2. Đối
tượng áp dụng","1. Cơ quan nhà nước thực hiện
quyền hạn và trách nhiệm đại diện chủ sở hữu toàn dân về đất đai, thực hiện nhiệm
vụ thống nhất quản lý nhà nước về đất đai.
2. Người sử dụng đất.
3. Các đối tượng khác có liên
quan đến việc quản lý, sử dụng đất đai."
2,"Điều 3. Giải
thích từ ngữ","Trong Luật này, các từ ngữ dưới
đây được hiểu như sau:
1. Bản đồ địa chính là bản
đồ thể hiện các thửa đất và các đối tượng địa lý có liên quan, lập theo đơn vị
hành chính cấp xã hoặc theo đơn vị hành chính cấp huyện nơi không thành lập đơn
vị hành chính cấp xã, được cơ quan nhà nước có thẩm quyền xác nhận.
2. Bản đồ hiện trạng sử dụng đất
là bản đồ thể hiện sự phân bố các loại đất tại một thời điểm xác định, được lập
theo từng đơn vị hành chính các cấp, theo từng vùng kinh tế - xã hội.
3. Bản đồ quy hoạch sử dụng đất
là bản đồ được lập tại thời điểm đầu kỳ quy hoạch, thể hiện nội dung phân bố
các loại đất tại thời điểm cuối kỳ quy hoạch của quy hoạch đó.
4. Bảo vệ, cải tạo, phục hồi
đất là việc áp dụng các biện pháp quản lý, kỹ thuật, cơ giới, sinh học, hữu
cơ tác động vào đất để xử lý đất bị ô nhiễm, phục hồi đất bị thoái hóa.
5. Bồi thường về đất là
việc Nhà nước trả lại giá trị quyền sử dụng đất của diện tích đất thu hồi cho
người có đất thu hồi. 
6. Cá nhân trực tiếp sản xuất
nông nghiệp là cá nhân đã được Nhà nước giao đất, cho thuê đất, công nhận
quyền sử dụng đất nông nghiệp; nhận chuyển quyền sử dụng đất nông nghiệp mà có
thu nhập từ sản xuất nông nghiệp trên đất đó theo quy định của Chính phủ.
7. Chi phí đầu tư vào đất còn
lại là chi phí hợp lý mà người sử dụng đất đã đầu tư trực tiếp vào đất
phù hợp với mục đích sử dụng đất nhưng đến thời điểm Nhà nước thu hồi đất còn
chưa thu hồi hết.
8. Chỉ tiêu sử dụng đất là
diện tích đất của từng loại đất được xác định trong quy hoạch, kế hoạch sử dụng
đất các cấp do cơ quan nhà nước có thẩm quyền xác định để phân bổ trong quá
trình lập quy hoạch, kế hoạch sử dụng đất.
9. Chiếm đất là việc sử dụng
đất do Nhà nước đã quản lý mà chưa được cơ quan nhà nước có thẩm quyền cho phép
hoặc sử dụng đất của người sử dụng đất hợp pháp khác mà chưa được người đó cho
phép.
10. Chủ đầu tư dự án đầu tư
có sử dụng đất (sau đây gọi là chủ đầu tư) là nhà đầu tư theo quy định của
pháp luật về đầu tư, pháp luật có liên quan đã được lựa chọn để thực hiện dự án
đầu tư có sử dụng đất và được giao đất, cho thuê đất, chuyển mục đích sử dụng đất
theo quy định của Luật này.
11. Chuyển mục đích sử dụng đất
là việc người sử dụng đất được thay đổi từ mục đích sử dụng đất này sang mục
đích sử dụng đất khác theo quy định của Luật này.
12. Chuyển quyền sử dụng đất
là việc chuyển giao quyền sử dụng đất từ người này sang người khác
thông qua hình thức chuyển đổi, chuyển nhượng, thừa kế, tặng cho quyền sử dụng
đất, góp vốn bằng quyền sử dụng đất.
13. Cộng đồng dân cư là cộng
đồng người Việt Nam sinh sống trên cùng địa bàn thôn, làng, ấp, bản, bon, buôn,
phum, sóc, tổ dân phố và điểm dân cư tương tự có cùng phong tục, tập quán hoặc
có chung dòng họ trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.
14. Cơ sở dữ liệu quốc gia về
đất đai là tập hợp các cơ sở dữ liệu đất đai trong đó dữ liệu được sắp xếp,
tổ chức để truy cập, khai thác, chia sẻ, quản lý và cập nhật thông qua phương
tiện điện tử.
15. Đăng ký đất đai, tài sản
gắn liền với đất là việc người sử dụng đất, người sở hữu tài sản gắn liền với
đất, người được giao quản lý đất kê khai quyền sử dụng đất, quyền sở hữu tài sản
gắn liền với đất với cơ quan nhà nước có thẩm quyền để được ghi nhận theo quy định
của Luật này.
16. Đất đang có tranh chấp là
thửa đất có tranh chấp đất đai mà đang trong quá trình được cơ quan có thẩm quyền
giải quyết.
17. Điều chỉnh thời hạn sử dụng
đất là việc cơ quan nhà nước có thẩm quyền cho phép thay đổi thời hạn sử dụng
đất trong quá trình sử dụng đất.
18. Gia hạn sử dụng đất
là việc cơ quan nhà nước có thẩm quyền cho phép tiếp tục sử dụng đất khi hết thời
hạn theo mục đích đang sử dụng theo quy định của Luật này.
19. Giá đất là giá trị của
quyền sử dụng đất tính bằng tiền trên một đơn vị diện tích đất.
20. Giá trị quyền sử dụng đất
là giá trị bằng tiền của quyền sử dụng đất đối với một diện tích đất, loại đất
tại thời điểm được xác định với thời hạn sử dụng đã được xác định.
21. Giấy chứng nhận quyền sử
dụng đất, quyền sở hữu tài sản gắn liền với đất là chứng thư pháp lý để Nhà
nước xác nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất hợp pháp
của người có quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất. Tài sản
gắn liền với đất được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản
gắn liền với đất là nhà ở, công trình xây dựng gắn liền với đất theo quy định của
pháp luật. Giấy chứng nhận về quyền sử dụng đất, quyền sở hữu nhà ở và tài
sản khác gắn liền với đất theo quy định của các luật có liên quan được thực hiện
theo quy định của Luật này có giá trị pháp lý tương đương như Giấy chứng nhận
quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất tại Luật này.
22. Góp vốn bằng quyền sử dụng
đất là sự thỏa thuận giữa các bên về chuyển quyền sử dụng đất thông
qua việc góp quyền sử dụng đất để tạo thành vốn điều lệ của tổ chức kinh tế,
bao gồm góp vốn để thành lập tổ chức kinh tế hoặc góp thêm vốn điều lệ của tổ
chức kinh tế đã được thành lập.
23. Hệ thống thông tin quốc
gia về đất đai là hệ thống tổng hợp các yếu tố hạ tầng kỹ thuật công nghệ
thông tin, phần mềm, dữ liệu được xây dựng thành một hệ thống tập trung, thống
nhất trên phạm vi cả nước để quản lý, vận hành, cập nhật, khai thác thông tin đất
đai.
24. Hỗ trợ khi Nhà nước thu hồi
đất là chính sách của Nhà nước nhằm trợ giúp cho người có đất thu hồi,
chủ sở hữu tài sản gắn liền với đất để ổn định đời sống, sản xuất và phát triển
ngoài các khoản đã bồi thường theo quy định của Luật này.
25. Hộ gia đình sử dụng đất là
những người có quan hệ hôn nhân, huyết thống, nuôi dưỡng theo quy định của pháp
luật về hôn nhân và gia đình, đang sống chung và có quyền sử dụng đất chung tại
thời điểm được Nhà nước giao đất, cho thuê đất, công nhận quyền sử dụng đất, nhận
chuyển quyền sử dụng đất trước ngày Luật này có hiệu lực thi hành. 
26. Hợp tác sản
xuất, kinh doanh bằng quyền sử dụng đất là sự thỏa thuận giữa các bên, theo
đó người sử dụng đất dùng quyền sử dụng đất của mình để hợp tác sản xuất, kinh
doanh mà không làm thay đổi quyền sử dụng đất của người sử dụng đất.
27. Hủy hoại đất là hành
vi làm biến dạng địa hình, làm suy giảm chất lượng đất, gây ô nhiễm đất mà làm mất
hoặc giảm khả năng sử dụng đất theo mục đích đã được xác định. 
28. Kế hoạch sử dụng đất
là việc phân kỳ quy hoạch sử dụng đất theo thời gian để thực hiện.
29. Kiểm kê đất đai là việc
Nhà nước tổ chức điều tra, tổng hợp, đánh giá trên hồ sơ địa chính và trên thực
địa về hiện trạng sử dụng đất tại thời điểm kiểm kê và biến động đất đai giữa
02 lần kiểm kê.
30. Lấn biển là việc mở rộng
diện tích đất trong phạm vi từ đường mép nước biển thấp nhất trung bình trong
nhiều năm về phía biển thuộc vùng biển Việt Nam.
31. Lấn đất là việc người
sử dụng đất chuyển dịch mốc giới hoặc ranh giới thửa đất để mở rộng diện tích đất
sử dụng mà không được cơ quan nhà nước có thẩm quyền cho phép hoặc không được
người sử dụng hợp pháp diện tích đất bị lấn đó cho phép. 
32. Nhà nước cho thuê quyền sử
dụng đất (sau đây gọi là Nhà nước cho thuê đất) là việc cơ quan nhà nước có
thẩm quyền ban hành quyết định cho thuê đất cho đối tượng có nhu cầu sử dụng đất.
33. Nhà nước công nhận quyền
sử dụng đất là việc cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận quyền
sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu cho người đang sử dụng
đất ổn định đối với thửa đất xác định theo quy định của Luật này.
34. Nhà nước giao quyền sử dụng
đất (sau đây gọi là Nhà nước giao đất) là việc cơ quan nhà nước có thẩm quyền
ban hành quyết định giao đất cho đối tượng có nhu cầu sử dụng đất.
35. Nhà nước thu hồi đất là
việc cơ quan nhà nước có thẩm quyền ban hành quyết định thu lại quyền sử dụng đất
của người sử dụng đất hoặc thu lại đất của người đang sử dụng đất hoặc thu lại
đất đang được Nhà nước giao quản lý.
36. Quy hoạch sử dụng đất
là việc phân bổ chỉ tiêu sử dụng đất và khoanh vùng đất đai cho các mục đích
phát triển kinh tế - xã hội, quốc phòng, an ninh, bảo vệ môi trường và thích ứng
với biến đổi khí hậu trên cơ sở tiềm năng đất đai và nhu cầu sử dụng đất của
các ngành, lĩnh vực đối với từng đơn vị hành chính cho thời kỳ xác định.
37. Quyền thuê trong hợp đồng
thuê đất là quyền của người sử dụng đất được hình thành khi Nhà nước cho
thuê đất thu tiền thuê đất hằng năm. Người sử dụng đất được chuyển nhượng quyền
thuê trong hợp đồng thuê đất; người nhận chuyển nhượng quyền thuê trong hợp đồng
thuê đất được kế thừa các quyền và nghĩa vụ của người sử dụng đất theo quy định
của Luật này và quy định khác của pháp luật có liên quan.
38. Sử dụng đất ổn định là
việc sử dụng đất vào một mục đích chính nhất định kể từ thời điểm bắt đầu sử dụng
đất vào mục đích đó đến thời điểm cơ quan nhà nước có thẩm quyền xem xét việc sử
dụng đất ổn định.
39. Tái định cư là việc
Nhà nước thực hiện bồi thường bằng đất ở hoặc bằng nhà ở tại khu tái định cư hoặc
địa điểm khác phù hợp cho người có đất thu hồi hoặc hỗ trợ bằng giao đất ở, nhà
ở tái định cư cho người không đủ điều kiện bồi thường về đất ở theo quy định của
Luật này nhưng không còn chỗ ở nào khác.
40. Thoái hóa đất là tình
trạng đất bị thay đổi đặc tính, tính chất vốn có ban đầu theo chiều hướng xấu
do tác động của điều kiện tự nhiên, con người.
41. Thống kê đất đai là
việc Nhà nước tổng hợp, đánh giá trên hồ sơ địa chính về hiện trạng sử dụng đất
tại thời điểm thống kê và biến động đất đai giữa 02 lần thống kê.
42. Thửa đất là phần diện
tích đất được giới hạn bởi ranh giới mô tả trên hồ sơ địa chính hoặc được xác định
trên thực địa.
43. Thửa đất chuẩn là thửa
đất có các đặc tính về diện tích, hình thể, kích thước mang tính đại diện cho
các thửa đất trong vùng giá trị, được chọn làm thửa đất chuẩn để định giá cho
các thửa đất khác trong vùng giá trị.
44. Tiền sử dụng đất là số
tiền mà người sử dụng đất phải trả cho Nhà nước khi được Nhà nước giao đất có
thu tiền sử dụng đất, cho phép chuyển mục đích sử dụng đất hoặc các trường
hợp sử dụng đất mà phải nộp tiền sử dụng đất theo quy định của pháp luật. 
45. Tiền thuê đất là số
tiền mà người sử dụng đất phải trả cho Nhà nước khi được Nhà nước cho thuê đất,
cho phép chuyển mục đích sử dụng đất để cho thuê đất hoặc các trường hợp sử dụng
đất mà phải nộp tiền thuê đất theo quy định của pháp luật.
46. Tổ chức kinh tế có vốn đầu
tư nước ngoài là tổ chức kinh tế phải đáp ứng điều kiện và thực hiện thủ tục
đầu tư quy định đối với nhà đầu tư nước ngoài theo quy định của Luật Đầu tư để thực hiện dự án có sử dụng đất.
47. Tranh chấp đất đai là
tranh chấp về quyền, nghĩa vụ của người sử dụng đất giữa hai hoặc nhiều bên
trong quan hệ đất đai.
48. Vùng giá trị là khu vực
các thửa đất liền kề nhau, có cùng mục đích sử dụng và có các yếu tố tương đồng
về vị trí, khả năng sinh lợi, điều kiện kết cấu hạ tầng và yếu tố khác ảnh hưởng
đến giá đất.
49. Vùng phụ cận là vùng
đất tiếp giáp với các điểm kết nối giao thông và các tuyến giao
thông có tiềm năng phát triển theo quy hoạch."
3,"Điều 4. Người
sử dụng đất","Người sử dụng đất được Nhà nước
giao đất, cho thuê đất, công nhận quyền sử dụng đất; đang sử dụng đất ổn định,
đủ điều kiện cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền
với đất mà chưa được Nhà nước cấp Giấy chứng nhận quyền sử dụng đất, Giấy chứng
nhận quyền sở hữu nhà ở và quyền sử dụng đất ở, Giấy chứng nhận quyền sử dụng đất,
quyền sở hữu nhà ở và tài sản khác gắn liền với đất, Giấy chứng nhận quyền sử dụng
đất, quyền sở hữu tài sản gắn liền với đất; nhận quyền sử dụng đất; thuê lại đất
theo quy định của Luật này, bao gồm:
1. Tổ chức trong nước gồm:
a) Cơ quan nhà nước, cơ quan Đảng
Cộng sản Việt Nam, đơn vị vũ trang nhân dân, Mặt trận Tổ quốc Việt Nam, tổ chức
chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ
chức xã hội - nghề nghiệp, đơn vị sự nghiệp công lập và tổ chức khác theo quy định
của pháp luật; 
b) Tổ chức kinh tế theo quy định
của Luật Đầu tư, trừ trường hợp quy định tại
khoản 7 Điều này (sau đây gọi là tổ chức kinh tế);
2. Tổ chức tôn giáo, tổ chức tôn
giáo trực thuộc;
3. Cá nhân trong nước, người Việt
Nam định cư ở nước ngoài là công dân Việt Nam (sau đây gọi là cá nhân);
4. Cộng đồng dân cư;
5. Tổ chức nước ngoài có chức
năng ngoại giao gồm cơ quan đại diện ngoại giao, cơ quan lãnh sự, cơ quan đại
diện khác của nước ngoài có chức năng ngoại giao được Chính phủ Việt Nam thừa
nhận; cơ quan đại diện của tổ chức thuộc Liên hợp quốc, cơ quan hoặc tổ chức
liên chính phủ, cơ quan đại diện của tổ chức liên chính phủ;
6. Người gốc Việt Nam định cư ở
nước ngoài;
7. Tổ chức kinh tế có vốn đầu tư
nước ngoài."
4,"Điều 5.
Nguyên tắc sử dụng đất","1. Đúng mục đích sử dụng đất. 
2. Bền vững, tiết kiệm, có hiệu
quả đối với đất đai và tài nguyên trên bề mặt, trong lòng đất. 
3. Bảo vệ đất, bảo vệ môi trường,
thích ứng với biến đổi khí hậu, không được lạm dụng thuốc bảo vệ thực vật, phân
hóa học làm ô nhiễm, thoái hóa đất. 
4. Thực hiện quyền và nghĩa vụ của
người sử dụng đất trong thời hạn sử dụng đất theo quy định của Luật này và quy
định khác của pháp luật có liên quan; không xâm phạm quyền, lợi ích hợp pháp của
người sử dụng đất liền kề và xung quanh."
5,Điều 6. Người chịu trách nhiệm trước Nhà nước đối với việc sử dụng đất,"1. Người đại diện
theo pháp luật của tổ chức trong nước, tổ chức kinh tế có vốn đầu tư nước
ngoài; người đứng đầu của tổ chức nước ngoài có chức năng ngoại giao đối với việc
sử dụng đất của tổ chức mình.
2. Chủ tịch Ủy ban
nhân dân cấp xã đối với việc sử dụng đất nông nghiệp vào mục đích công ích; đất
phi nông nghiệp đã giao cho Ủy ban nhân dân cấp xã để sử dụng vào mục đích xây
dựng trụ sở Ủy ban nhân dân, các công trình công cộng phục vụ hoạt động văn
hóa, giáo dục, y tế, thể dục, thể thao, vui chơi, giải trí, chợ, nghĩa trang và
công trình công cộng khác của xã, phường, thị trấn; đất tôn giáo, đất tín ngưỡng
chưa giao quản lý, sử dụng.
3. Người đại diện
cho cộng đồng dân cư là trưởng thôn, làng, ấp, bản, bon, buôn,
phum, sóc, tổ dân phố và điểm dân cư tương tự hoặc người được cộng đồng dân cư
thỏa thuận cử ra.
4. Người đại diện
tổ chức tôn giáo, tổ chức tôn giáo trực thuộc đối với việc
sử dụng đất của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc.
5. Cá nhân, người
gốc Việt Nam định cư ở nước ngoài đối với việc sử dụng đất của mình.
6. Người có chung
quyền sử dụng đất hoặc người đại diện cho nhóm người có chung quyền sử dụng đất
đối với việc sử dụng đất đó."
6,"Điều 7. Người chịu trách nhiệm trước Nhà nước đối với đất được giao quản
lý","1. Người đại diện
của tổ chức chịu trách nhiệm đối với việc quản lý đất trong các trường hợp sau
đây:
a) Tổ chức trong
nước được giao quản lý công trình công cộng và hành lang bảo vệ an toàn các
công trình theo quy định của pháp luật;
b) Tổ chức trong
nước được giao quản lý đất có mặt nước của các sông và đất có mặt nước chuyên
dùng;
c) Tổ chức trong
nước được giao quản lý quỹ đất đã thu hồi theo quyết định của cơ quan nhà nước có
thẩm quyền;
d) Tổ chức kinh tế
được giao quản lý diện tích đất để thực hiện dự án đầu tư theo quy định của
pháp luật.
2. Chủ tịch Ủy ban
nhân dân cấp xã, Chủ tịch Ủy ban nhân dân cấp huyện nơi không thành lập
đơn vị hành chính cấp xã chịu trách nhiệm đối với việc quản lý đất
sử dụng vào mục đích công cộng được giao quản lý, đất chưa giao, đất chưa cho
thuê tại địa phương.
3. Chủ tịch Ủy ban
nhân dân cấp tỉnh chịu trách nhiệm đối với việc quản lý đất chưa sử dụng tại
các đảo chưa giao cho đơn vị hành chính cấp huyện, cấp xã quản lý.
4. Người đại diện
cho cộng đồng dân cư là người chịu trách nhiệm đối với đất được giao cho cộng đồng
dân cư quản lý."
7,Điều 8. Khuyến khích đầu tư vào sử dụng đất đai,"1. Nâng cao hiệu
quả sử dụng đất.
2. Bảo vệ, cải tạo,
làm tăng độ màu mỡ của đất; xử lý đất, đất có mặt nước bị ô nhiễm, phục hồi đất
bị thoái hóa.
3. Lấn biển, đưa
diện tích đất trống, đồi núi trọc, đất bãi bồi ven sông, ven biển, đất có mặt
nước hoang hóa vào sử dụng theo quy định của Luật này.
4. Tập trung đất đai
để sản xuất nông nghiệp, lâm nghiệp quy mô lớn.
5. Phát triển kết
cấu hạ tầng để làm tăng giá trị của đất, phát triển công trình ngầm.
6. Phát triển
văn hóa, y tế, giáo dục và đào tạo, thể dục, thể thao, khoa học và công nghệ,
môi trường."
8,Điều 9. Phân loại đất,"1. Căn cứ vào mục đích sử dụng,
đất đai được phân loại bao gồm nhóm đất nông nghiệp, nhóm đất phi nông nghiệp,
nhóm đất chưa sử dụng.
2. Nhóm đất nông nghiệp bao gồm
các loại đất sau đây:
a) Đất trồng cây hằng năm, gồm đất trồng lúa và đất trồng cây hằng năm khác;
b) Đất trồng cây lâu năm;
c) Đất lâm nghiệp, gồm đất rừng
đặc dụng, đất rừng phòng hộ, đất rừng sản xuất;
d) Đất nuôi trồng thủy sản;
đ) Đất chăn nuôi tập trung;
e) Đất làm muối;
g) Đất nông nghiệp khác.
3. Nhóm đất phi nông nghiệp bao
gồm các loại đất sau đây:
a) Đất ở, gồm đất ở tại nông
thôn, đất ở tại đô thị;
b) Đất xây dựng trụ sở cơ quan;
c) Đất sử dụng vào mục đích quốc
phòng, an ninh (sau đây gọi là đất quốc phòng, an ninh);
d) Đất xây dựng công trình sự
nghiệp, gồm: đất xây dựng cơ sở văn hóa, xã hội, y tế, giáo dục và đào tạo, thể
dục, thể thao, khoa học và công nghệ, môi trường, khí tượng thủy văn, ngoại
giao và công trình sự nghiệp khác hoặc đất xây dựng trụ sở của đơn vị sự nghiệp
công lập khác;
đ) Đất sản xuất, kinh doanh phi nông
nghiệp, gồm: đất khu công nghiệp, cụm công nghiệp; đất thương mại, dịch vụ; đất
cơ sở sản xuất phi nông nghiệp; đất sử dụng cho hoạt động khoáng sản;
e) Đất sử dụng vào mục đích công
cộng, gồm: đất công trình giao thông; đất công trình thủy lợi; đất
công trình cấp nước, thoát nước; đất công trình phòng, chống thiên tai;
đất có di tích lịch sử - văn hóa, danh lam thắng cảnh, di sản thiên nhiên; đất công trình xử lý chất thải; đất công trình năng lượng, chiếu sáng công cộng; đất công trình hạ tầng bưu chính, viễn
thông, công nghệ thông tin; đất chợ dân sinh, chợ đầu mối; đất khu vui chơi, giải
trí công cộng, sinh hoạt cộng đồng;
g) Đất sử dụng cho hoạt động tôn
giáo (sau đây gọi là đất tôn giáo); đất sử dụng cho hoạt động tín ngưỡng (sau
đây gọi là đất tín ngưỡng);
h) Đất nghĩa trang, nhà tang lễ,
cơ sở hỏa táng; đất cơ sở lưu giữ tro cốt;
i) Đất có mặt
nước chuyên dùng;
k) Đất phi nông nghiệp khác.
4. Nhóm đất chưa sử
dụng là đất chưa xác định mục đích sử dụng và chưa giao, chưa cho thuê.
5. Chính phủ quy định
chi tiết các loại đất tại Điều này."
9,"Điều 10.
Xác định loại đất","1. Việc xác định loại đất dựa
trên một trong các căn cứ sau đây:
a) Giấy chứng nhận quyền sử dụng
đất; Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở; Giấy chứng nhận
quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất; Giấy chứng
nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất;
b) Giấy tờ về quyền sử dụng đất
quy định tại Điều 137 của Luật này đối với trường hợp chưa
được cấp giấy chứng nhận quy định tại điểm a khoản này;
c) Quyết định giao đất, cho thuê
đất, cho phép chuyển mục đích sử dụng đất của cơ quan nhà nước có thẩm quyền đối
với trường hợp chưa được cấp giấy chứng nhận quy định tại điểm a khoản này.
2. Đối với trường hợp không có
giấy tờ quy định tại khoản 1 Điều này và trường hợp loại đất xác định trên giấy
tờ đã cấp khác với phân loại đất theo quy định của Luật này hoặc khác với hiện
trạng sử dụng đất thì việc xác định loại đất thực hiện theo quy định của Chính
phủ."
